GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test-coverage,compagne.Vista,App,29,0,0,0,10,0,3,0,3,0
test-coverage,compagne.Vista,Prueba,4,0,0,0,2,0,2,0,2,0
test-coverage,compagne.Vista,Main,6,0,0,0,3,0,2,0,2,0
test-coverage,compagne.Negocio,IniciarSesionController,193,0,24,0,50,0,17,0,5,0
test-coverage,compagne.Negocio,RegistrarPantallaController,356,0,66,0,81,0,37,0,4,0
test-coverage,compagne.Negocio,VerPerfilController,956,0,40,0,137,0,27,0,7,0
test-coverage,compagne.Negocio,CrearGrupoController,320,0,54,0,76,0,36,0,9,0
test-coverage,compagne.Negocio,PantallaMenuController,272,0,24,0,72,0,21,0,9,0
test-coverage,compagne.Negocio,PantallaPerfilProfesorController,1091,0,130,0,143,0,71,0,6,0
test-coverage,compagne.Negocio,PantallaPerfilController,866,0,40,0,117,0,25,0,5,0
test-coverage,compagne.Negocio,CompaController,173,0,20,0,40,0,17,0,7,0
test-coverage,compagne.Negocio,VerInfoGrupoController,194,0,28,0,43,0,21,0,7,0
test-coverage,compagne.Negocio,FacadeCompagne,1482,0,104,0,324,0,79,0,27,0
test-coverage,compagne.Negocio,PantallaGruposController,283,0,24,0,74,0,21,0,9,0
test-coverage,compagne.IntegracionDatos,ControlProfesores,1098,0,60,0,249,0,49,0,19,0
test-coverage,compagne.IntegracionDatos,ConnectionClass,58,0,0,0,20,0,8,0,8,0
test-coverage,compagne.IntegracionDatos,ControlEstudiantes,1908,0,100,0,423,0,74,0,24,0
test-coverage,compagne.IntegracionDatos,ControlChats,546,0,28,0,102,0,24,0,10,0
test-coverage,compagne.IntegracionDatos,ControlGrupos,494,0,14,0,114,0,18,0,11,0
test-coverage,compagne.Entidades,Rol,78,0,8,0,17,0,10,0,6,0
test-coverage,compagne.Entidades,Profesor,70,0,0,0,20,0,8,0,8,0
test-coverage,compagne.Entidades,ChatP,82,0,8,0,17,0,10,0,6,0
test-coverage,compagne.Entidades,ChatG,49,0,4,0,14,0,7,0,5,0
test-coverage,compagne.Entidades,Comentario,78,0,8,0,17,0,10,0,6,0
test-coverage,compagne.Entidades,Mensaje,78,0,8,0,17,0,10,0,6,0
test-coverage,compagne.Entidades,Reunion,72,0,8,0,14,0,10,0,6,0
test-coverage,compagne.Entidades,Usuario,120,0,4,0,35,0,16,0,14,0
test-coverage,compagne.Entidades,Grupo,229,0,18,0,45,0,27,0,18,0
test-coverage,compagne.Entidades,Chat,126,0,12,0,23,0,14,0,8,0
test-coverage,compagne.Entidades,Estudiante,45,0,0,0,10,0,4,0,4,0
