GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test-coverage,compagne.Vista,App,29,0,0,0,10,0,3,0,3,0
test-coverage,compagne.Vista,Prueba,4,0,0,0,2,0,2,0,2,0
test-coverage,compagne.Vista,Main,6,0,0,0,3,0,2,0,2,0
test-coverage,compagne.Negocio,IniciarSesionController,193,0,24,0,48,0,17,0,5,0
test-coverage,compagne.Negocio,RegistrarPantallaController,356,0,66,0,76,0,37,0,4,0
test-coverage,compagne.Negocio,VerPerfilController,956,0,40,0,137,0,27,0,7,0
test-coverage,compagne.Negocio,CrearGrupoController,320,0,54,0,72,0,36,0,9,0
test-coverage,compagne.Negocio,PantallaMenuController,272,0,24,0,76,0,21,0,9,0
test-coverage,compagne.Negocio,PantallaPerfilProfesorController,1091,0,130,0,144,0,71,0,6,0
test-coverage,compagne.Negocio,PantallaPerfilController,866,0,40,0,117,0,25,0,5,0
test-coverage,compagne.Negocio,CompaController,173,0,20,0,39,0,17,0,7,0
test-coverage,compagne.Negocio,VerInfoGrupoController,194,0,28,0,42,0,21,0,7,0
test-coverage,compagne.Negocio,FacadeCompagne,1188,0,104,0,314,0,79,0,27,0
test-coverage,compagne.Negocio,PantallaGruposController,283,0,24,0,77,0,21,0,9,0
test-coverage,compagne.IntegracionDatos,ControlProfesores,833,0,60,0,265,0,49,0,19,0
test-coverage,compagne.IntegracionDatos,ConnectionClass,58,0,0,0,22,0,8,0,8,0
test-coverage,compagne.IntegracionDatos,ControlEstudiantes,1441,0,100,0,432,0,74,0,24,0
test-coverage,compagne.IntegracionDatos,ControlChats,432,0,28,0,102,0,24,0,10,0
test-coverage,compagne.IntegracionDatos,ControlGrupos,381,0,14,0,118,0,18,0,11,0
test-coverage,compagne.Entidades,Rol,64,0,8,0,16,0,10,0,6,0
test-coverage,compagne.Entidades,Profesor,48,0,0,0,19,0,8,0,8,0
test-coverage,compagne.Entidades,ChatP,68,0,8,0,16,0,10,0,6,0
test-coverage,compagne.Entidades,ChatG,40,0,4,0,13,0,7,0,5,0
test-coverage,compagne.Entidades,Comentario,64,0,8,0,16,0,10,0,6,0
test-coverage,compagne.Entidades,Mensaje,64,0,8,0,16,0,10,0,6,0
test-coverage,compagne.Entidades,Reunion,58,0,8,0,13,0,10,0,6,0
test-coverage,compagne.Entidades,Usuario,93,0,4,0,35,0,16,0,14,0
test-coverage,compagne.Entidades,Grupo,190,0,18,0,44,0,27,0,18,0
test-coverage,compagne.Entidades,Chat,102,0,12,0,22,0,14,0,8,0
test-coverage,compagne.Entidades,Estudiante,28,0,0,0,9,0,4,0,4,0
